Country Name,Country Code,Time,Time Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
Denmark,DNK,1960,YR1960,72.1765853658537
Denmark,DNK,1961,YR1961,72.4382926829268
Denmark,DNK,1962,YR1962,72.319756097561
Denmark,DNK,1963,YR1963,72.4004878048781
Denmark,DNK,1964,YR1964,72.4851219512195
Denmark,DNK,1965,YR1965,72.3707317073171
Denmark,DNK,1966,YR1966,72.4441463414634
Denmark,DNK,1967,YR1967,72.9221951219512
Denmark,DNK,1968,YR1968,73.1214634146341
Denmark,DNK,1969,YR1969,73.2209756097561
Denmark,DNK,1970,YR1970,73.3434146341463
Denmark,DNK,1971,YR1971,73.4146341463415
Denmark,DNK,1972,YR1972,73.4390243902439
Denmark,DNK,1973,YR1973,73.6821951219512
Denmark,DNK,1974,YR1974,73.8082926829268
Denmark,DNK,1975,YR1975,74.0751219512195
Denmark,DNK,1976,YR1976,73.739756097561
Denmark,DNK,1977,YR1977,74.6324390243903
Denmark,DNK,1978,YR1978,74.3929268292683
Denmark,DNK,1979,YR1979,74.2192682926829
Denmark,DNK,1980,YR1980,74.1017073170732
Denmark,DNK,1981,YR1981,74.2304878048781
Denmark,DNK,1982,YR1982,74.5512195121951
Denmark,DNK,1983,YR1983,74.4204878048781
Denmark,DNK,1984,YR1984,74.5621951219512
Denmark,DNK,1985,YR1985,74.4275609756098
Denmark,DNK,1986,YR1986,74.579756097561
Denmark,DNK,1987,YR1987,74.6912195121951
Denmark,DNK,1988,YR1988,74.7717073170732
Denmark,DNK,1989,YR1989,74.799756097561
Denmark,DNK,1990,YR1990,74.8053658536585
Denmark,DNK,1991,YR1991,75.1578048780488
Denmark,DNK,1992,YR1992,75.1941463414634
Denmark,DNK,1993,YR1993,75.1168292682927
Denmark,DNK,1994,YR1994,75.3751219512195
Denmark,DNK,1995,YR1995,75.2126829268293
Denmark,DNK,1996,YR1996,75.5914634146342
Denmark,DNK,1997,YR1997,75.9451219512195
Denmark,DNK,1998,YR1998,76.1390243902439
Denmark,DNK,1999,YR1999,76.3414634146341
Denmark,DNK,2000,YR2000,76.5926829268293
Denmark,DNK,2001,YR2001,76.7926829268293
Denmark,DNK,2002,YR2002,76.8951219512195
Denmark,DNK,2003,YR2003,77.1439024390244
Denmark,DNK,2004,YR2004,77.4926829268293
Denmark,DNK,2005,YR2005,77.8439024390244
Denmark,DNK,2006,YR2006,78.0951219512195
Denmark,DNK,2007,YR2007,78.1951219512195
Denmark,DNK,2008,YR2008,78.4463414634146
Denmark,DNK,2009,YR2009,78.5975609756098
Denmark,DNK,2010,YR2010,79.1
Denmark,DNK,2011,YR2011,79.8
Denmark,DNK,2012,YR2012,80.0512195121951
Denmark,DNK,2013,YR2013,80.3
Denmark,DNK,2014,YR2014,80.7
Denmark,DNK,2015,YR2015,80.7024390243902
Denmark,DNK,2016,YR2016,80.8536585365854
Denmark,DNK,2017,YR2017,81.1024390243903
Denmark,DNK,2018,YR2018,80.9536585365854
Denmark,DNK,2019,YR2019,81.4512195121951
Denmark,DNK,2020,YR2020,81.5512195121951
Denmark,DNK,2021,YR2021,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
